Precinct,Duncan/Bupp (NPC),Harris/Walz (DEM),Oliver/Maat (LIB),Sonski/Onak (OPC),Candidate Withdrawn,Trump/Vance (REP),Write-in Totals,Write-in: 1. Ayyadurai/Ellis,Write-in: 2. Bowman/Bowman,Write-in: 3. Cheng/Waligorski,Write-in: 4. Dela Cruz/Garcia,Write-in: 5. Fox/McVay,Write-in: 6. Garrity/Ballard,Write-in: 7. Kienitz/Johnson,Write-in: 8. Nalbach/Butts,Write-in: 9. West/Abdullah,Write-in: 10. Not Valid,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total
MIATWP-H,0,294,2,1,3,398,4,0,0,0,1,0,0,0,0,1,2,0,702,0,1,703
MIATWP-I,2,209,5,0,3,205,2,0,0,0,0,0,0,0,0,1,1,0,426,0,3,429
MIATWP-J,0,163,3,0,1,525,0,0,0,0,0,0,0,0,0,0,0,0,692,1,4,697
MIATWP-K,0,366,11,2,4,549,2,0,0,0,0,0,0,0,0,0,2,0,934,0,5,939
MIATWP-L,1,257,5,0,3,344,2,0,0,0,0,0,0,0,0,0,2,0,612,0,4,616
MIATWP-M,3,297,5,1,2,385,2,0,0,0,0,0,0,0,0,0,2,0,695,2,4,701
MIATWP-N,0,339,4,1,3,452,1,0,0,0,0,0,0,0,0,0,1,0,800,0,1,801
MIATWP-O,0,301,2,1,7,434,2,0,0,0,0,0,0,0,0,0,2,0,747,0,3,750
MIATWP-P,2,275,0,1,4,238,2,0,0,0,0,0,0,0,0,0,2,0,522,0,2,524
MIATWP-Q,2,390,4,0,1,390,3,0,0,0,0,0,0,0,0,0,3,0,790,0,6,796
MIATWP-R,1,204,0,0,1,217,4,0,0,0,1,0,0,0,0,0,3,0,427,0,1,428
MIATWP-S,0,243,2,1,1,498,2,0,0,0,0,0,0,0,0,0,2,0,747,0,4,751
MIATWP-T,3,255,6,1,0,355,0,0,0,0,0,0,0,0,0,0,0,0,620,0,5,625
MIATWP-U,0,287,7,0,6,292,4,0,0,0,1,0,0,0,0,0,3,0,596,2,5,603
MIATWP-V,0,267,4,1,1,457,0,0,0,0,0,0,0,0,0,0,0,0,730,3,4,737
MOR 1-A,0,143,1,0,2,317,1,0,0,0,1,0,0,0,0,0,0,0,464,0,0,464
MOR 2-A,3,298,0,4,6,517,3,0,0,0,0,0,0,0,0,0,3,0,831,0,3,834
MOR 3-A,5,160,4,2,1,351,1,0,0,0,0,0,0,0,0,0,1,0,524,0,3,527
MOR 4-A,2,212,0,3,0,249,0,0,0,0,0,0,0,0,0,0,0,0,466,0,1,467
MOR 4-B,0,239,2,0,0,138,1,0,0,0,1,0,0,0,0,0,0,0,380,2,2,384
OAK-A,0,518,9,2,5,285,5,0,0,0,0,0,0,0,0,0,5,0,824,0,9,833
OAK-B,1,479,5,0,5,320,8,0,0,0,0,0,0,0,0,0,8,0,818,0,9,827
OAK-C,0,452,8,2,3,206,3,0,0,0,0,0,0,0,0,0,3,0,674,0,7,681
OAK-D,1,440,7,7,1,220,2,0,0,0,0,0,0,0,0,0,2,0,678,0,6,684
OAK-E,1,504,1,4,0,188,1,0,0,0,0,0,0,0,0,1,0,0,699,1,2,702
OAK-F,2,605,5,2,0,243,6,0,0,0,0,0,0,0,0,0,6,0,863,0,6,869
OAK-G,1,467,4,1,3,262,9,0,0,0,0,0,0,0,0,0,9,0,747,0,7,754
OAK-H,1,338,4,1,2,251,4,0,0,0,0,0,0,0,0,0,4,0,601,0,9,610
PERTWP-A,0,85,3,3,2,498,0,0,0,0,0,0,0,0,0,0,0,0,591,0,7,598
PERTWP-B,2,140,6,1,0,502,1,0,0,0,0,0,0,0,0,0,1,0,652,0,1,653
PERTWP-C,2,147,3,0,0,610,1,0,0,0,0,0,0,0,0,0,1,0,763,0,5,768
PHBG,0,63,1,0,0,167,4,0,0,0,0,0,0,0,0,0,4,0,235,0,2,237
PM,0,251,4,5,1,264,0,0,0,0,0,0,0,0,0,0,0,0,525,1,1,527
PNLB,2,124,2,1,4,395,0,0,0,0,0,0,0,0,0,0,0,0,528,3,0,531
RV-A,3,248,3,4,3,403,2,0,0,0,0,0,0,0,0,0,2,0,666,2,2,670
RV-B,1,171,1,1,1,381,2,0,0,0,0,0,0,0,0,0,2,0,558,1,1,560
RV-C,2,307,5,5,4,377,2,0,0,0,0,0,0,0,0,0,2,0,702,0,6,708
RV-D,1,211,5,4,1,503,1,0,0,0,0,0,0,0,0,0,1,0,726,0,2,728
RV-E,0,164,4,1,0,446,3,0,0,0,0,0,0,0,0,0,3,0,618,1,1,620
RV-F,0,277,6,0,2,310,0,0,0,0,0,0,0,0,0,0,0,0,595,0,6,601
RV-G,1,187,5,1,4,334,3,0,0,0,0,0,0,0,0,0,3,0,535,0,4,539
RV-H,0,127,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,360,2,0,362
RV-I,0,176,2,0,4,340,2,0,0,0,0,0,0,0,0,0,2,0,524,1,1,526
RV-J,0,173,2,1,2,327,2,0,0,0,0,0,0,0,0,0,2,0,507,2,3,512
RV-K,1,315,6,6,2,353,5,0,0,0,0,0,0,0,0,0,5,0,688,0,3,691
RV-L,0,124,2,1,2,289,1,0,0,0,0,0,0,0,0,0,1,0,419,0,2,421
RV-M,4,293,2,4,1,406,1,0,0,0,0,0,0,0,0,0,1,0,711,0,5,716
RV-N,1,191,0,0,5,320,1,0,0,0,0,0,0,0,0,0,1,0,518,0,4,522
RV-O,2,285,3,0,3,418,3,0,0,0,0,0,0,0,0,1,2,0,714,0,3,717
RV-P,1,308,8,0,4,431,2,0,0,0,0,0,0,0,0,0,2,0,754,1,2,757
TR 1-A,6,523,1,0,6,185,5,0,0,0,0,0,0,0,0,0,5,0,726,1,7,734
TR 1-B,0,281,0,1,0,117,1,0,0,0,0,0,0,0,0,0,1,0,400,0,6,406
TR 1-C,2,494,1,0,2,26,2,0,0,0,0,0,0,0,0,0,2,0,527,2,6,535
TR 1-D,2,377,1,1,2,49,3,0,0,0,0,0,0,0,0,1,2,0,435,1,4,440
TR 1-E,5,669,0,0,1,45,2,0,0,0,0,0,0,0,0,1,1,0,722,2,7,731
TR 2-A,0,522,3,0,5,68,4,0,0,0,0,0,0,0,0,1,3,0,602,4,6,612
TR 2-B,0,606,3,1,0,93,2,0,0,0,0,0,0,0,0,0,2,0,705,1,3,709
TR 2-C,1,465,0,1,3,43,3,0,0,0,0,0,0,0,0,1,2,0,516,0,3,519
TR 2-D,1,306,2,2,0,113,1,0,0,0,0,0,0,0,0,0,1,0,425,2,4,431
TR 2-E,0,462,0,1,0,37,1,0,0,0,0,0,0,0,0,0,1,0,501,1,4,506
TR 3-A,2,313,1,0,3,150,0,0,0,0,0,0,0,0,0,0,0,0,469,0,3,472
TR 3-B,1,262,3,0,2,338,0,0,0,0,0,0,0,0,0,0,0,0,606,0,4,610
TR 3-C,1,273,1,2,0,190,1,0,0,0,0,0,0,0,0,0,1,0,468,0,2,470
TR 3-D,2,551,1,2,3,118,1,0,0,0,0,0,0,0,0,0,1,0,678,0,5,683
TR 4-A,2,592,4,3,3,57,1,0,0,0,0,0,0,0,0,0,1,0,662,2,6,670
TR 4-B,2,477,3,0,2,72,1,0,0,0,0,0,0,0,0,0,1,0,557,2,4,563
TR 4-C,1,365,3,0,0,71,1,0,0,0,0,0,0,0,0,0,1,0,441,3,5,449
TR 4-D,1,402,2,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,466,2,2,470
UN-A,0,140,3,2,4,328,0,0,0,0,0,0,0,0,0,0,0,0,477,0,2,479
UN-B,0,267,2,1,4,439,0,0,0,0,0,0,0,0,0,0,0,0,713,1,3,717
UN-C,1,266,2,0,0,523,2,0,0,0,0,0,0,0,0,0,2,0,794,1,3,798
UN-D,2,318,6,1,1,507,2,0,0,0,0,0,0,0,0,0,2,0,837,1,6,844
UN-E,1,255,6,0,0,558,2,0,0,0,0,0,0,0,0,0,2,0,822,1,4,827
VD-A,0,238,6,0,4,462,3,0,0,0,0,0,0,0,0,0,3,0,713,0,3,716
VD-B,0,127,5,1,1,310,0,0,0,0,0,0,0,0,0,0,0,0,444,0,1,445
VD-C,0,263,2,1,1,566,2,0,0,0,1,0,0,0,0,0,1,0,835,0,3,838
VD-D,2,314,3,2,3,411,2,0,0,0,0,0,0,0,0,0,2,0,737,1,3,741
VD-E,0,166,4,0,2,373,2,0,0,0,0,0,0,0,0,0,2,0,547,1,2,550
VD-F,0,323,3,0,1,519,1,0,0,0,0,0,0,0,0,0,1,0,847,1,2,850
VD-G,1,231,4,0,2,416,4,0,0,0,0,0,0,0,0,0,4,0,658,0,5,663
VD-H,2,278,3,4,3,604,2,0,0,0,1,0,0,0,0,0,1,0,896,0,9,905
VD-I,0,263,5,1,1,478,3,0,0,0,0,0,0,0,0,0,3,0,751,0,3,754
VD-J,2,325,5,0,2,605,3,0,0,0,0,0,0,0,0,0,3,0,942,0,10,952
VD-K,2,314,7,5,1,539,3,0,0,0,0,0,0,0,0,0,3,0,871,3,4,878
WASTWP-A,0,307,3,0,2,450,2,0,0,0,0,0,0,0,0,0,2,0,764,1,13,778
WASTWP-B,0,467,11,2,5,591,3,0,0,0,0,0,0,0,0,0,3,0,1079,0,7,1086
WASTWP-C,1,386,8,1,1,478,6,0,0,0,1,0,0,0,0,0,5,0,881,0,14,895
WASTWP-D,0,290,0,0,7,354,3,0,0,0,0,0,0,0,0,0,3,0,654,0,3,657
WASTWP-E,0,409,0,0,7,493,2,0,0,0,0,0,0,0,0,0,2,0,911,0,9,920
WASTWP-F,1,263,6,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,589,1,11,601
WASTWP-G,0,468,8,6,4,504,2,0,0,0,0,0,0,0,0,0,2,0,992,0,8,1000
WASTWP-H,3,332,6,2,7,446,3,0,0,0,0,0,0,0,0,2,1,0,799,0,10,809
WASTWP-I,1,351,1,3,0,311,3,0,0,0,0,0,0,0,0,2,1,0,670,0,3,673
WASTWP-J,4,400,5,1,9,443,2,0,0,0,0,0,0,0,0,0,2,0,864,0,4,868
WASTWP-K,3,323,5,4,2,467,5,0,0,0,0,0,0,0,0,0,5,0,809,1,9,819
WASTWP-L,2,373,2,3,6,337,1,0,0,0,0,0,0,0,0,0,1,0,724,0,4,728
WASTWP-M,2,378,14,3,13,517,3,0,0,0,0,0,0,0,0,0,3,0,930,0,7,937
WASTWP-N,1,442,5,1,4,379,6,0,0,0,1,0,0,0,0,0,5,0,838,0,6,844
WASTWP-O,1,417,4,1,8,436,6,0,0,0,0,0,0,0,0,0,6,0,873,1,7,881
WASTWP-P,1,411,8,3,9,542,4,0,0,0,0,0,0,0,0,0,4,0,978,0,12,990
WASTWP-Q,3,461,8,1,5,479,3,0,0,0,1,0,0,0,0,0,2,0,960,0,10,970
WASTWP-R,2,305,5,1,2,382,6,0,0,0,0,0,0,0,0,0,6,0,703,1,7,711
WASTWP-S,1,342,5,1,2,378,4,0,0,0,0,0,0,0,0,0,4,0,733,1,8,742
WASTWP-T,0,382,7,0,10,331,2,0,0,0,0,0,0,0,0,1,1,0,732,0,8,740
WASTWP-U,0,388,1,2,7,464,5,0,0,0,0,0,0,0,0,1,4,0,867,0,12,879
WASTWP-V,2,361,4,3,4,450,6,0,0,0,0,0,0,0,0,0,6,0,830,0,10,840
WASTWP-W,2,304,1,0,2,280,2,0,0,0,0,0,0,0,0,0,2,0,591,0,4,595
WASTWP-X,2,303,8,0,4,383,0,0,0,0,0,0,0,0,0,0,0,0,700,1,8,709
WASTWP-Y,1,522,6,2,9,550,5,0,0,0,0,0,0,0,0,0,5,0,1095,0,13,1108
WASTWP-Z,1,334,9,1,2,404,4,0,0,0,0,0,0,0,0,0,4,0,755,0,5,760
WASTWP-AA,0,369,7,1,2,434,4,0,0,0,0,0,0,0,0,0,4,0,817,0,11,828
WASTWP-BB,4,283,6,3,14,312,2,0,0,0,0,0,0,0,0,0,2,0,624,0,0,624
WASTWP-CC,3,463,6,3,3,535,4,0,0,0,1,0,0,0,0,0,3,0,1017,0,11,1028
WCR-A,1,251,3,2,2,435,4,0,0,0,0,0,0,0,0,0,4,0,698,0,5,703
WCR-B,2,262,2,3,1,462,1,0,0,0,0,0,0,0,0,0,1,0,733,0,3,736
WCR-C,0,234,5,2,1,505,2,0,0,0,0,0,0,0,0,0,2,0,749,0,5,754
WCR-D,5,260,6,2,2,455,3,0,0,0,0,0,0,0,0,0,3,0,733,1,2,736
WCR-E,0,286,1,2,7,177,4,0,0,0,0,0,0,0,0,0,4,0,477,0,3,480
WCR-F,3,266,3,0,2,290,1,0,0,0,0,0,0,0,0,0,1,0,565,1,5,571
WCR-G,1,345,2,0,2,399,1,0,0,0,0,0,0,0,0,0,1,0,750,0,5,755
WCR-H,1,225,6,3,3,470,1,0,0,0,0,0,0,0,0,0,1,0,709,0,8,717
WCR-I,3,324,5,2,3,179,1,0,0,0,1,0,0,0,0,0,0,0,517,0,2,519
